Date and time,Temperature,Humidity
10/20/2023 0:00:08,31.60,76.2
10/20/2023 0:00:31,31.40,76.3
10/20/2023 0:00:54,31.70,76
10/20/2023 0:01:18,31.20,76.4
10/20/2023 0:01:41,31.80,75.9
10/20/2023 0:02:05,31.80,75
10/20/2023 0:02:28,31.70,78.1
10/20/2023 0:02:51,31.40,76.1
10/20/2023 0:03:14,31.70,83.7
10/20/2023 0:03:38,31.40,77.4
10/20/2023 0:04:02,31.80,76.5
10/20/2023 0:04:25,31.70,76.2
10/20/2023 0:05:14,31.70,76.3
10/20/2023 0:05:26,31.80,75.9
10/20/2023 0:05:38,31.40,76.3
10/20/2023 0:06:01,31.80,75.9
10/20/2023 0:06:24,31.70,76.6
10/20/2023 0:06:47,31.70,76
10/20/2023 0:07:10,31.80,75.9
10/20/2023 0:07:33,31.70,77.1
10/20/2023 0:07:56,31.80,75.9
10/20/2023 0:08:19,31.60,76.2
10/20/2023 0:08:42,31.80,76.2
10/20/2023 0:09:05,31.20,78.5
10/20/2023 0:09:28,31.50,76.6
10/20/2023 0:09:51,31.70,76.6
10/20/2023 0:10:14,31.00,76.8
10/20/2023 0:10:37,31.20,76.8
10/20/2023 0:11:00,31.50,78.1
10/20/2023 0:11:23,31.50,77.1
10/20/2023 0:11:46,31.20,76.2
10/20/2023 0:12:09,31.50,76.8
10/20/2023 0:12:32,31.50,76.6
10/20/2023 0:12:55,31.20,79.1
10/20/2023 0:13:18,31.50,74.3
10/20/2023 0:13:41,31.70,76
10/20/2023 0:14:05,31.10,77
10/20/2023 0:14:28,31.70,76.1
10/20/2023 0:14:51,31.20,77.1
10/20/2023 0:15:14,31.50,77.9
10/20/2023 0:15:37,31.10,76.2
10/20/2023 0:16:00,30.90,77.3
10/20/2023 0:16:23,30.90,77.3
10/20/2023 0:16:46,31.50,79.3
10/20/2023 0:17:09,31.70,77.6
10/20/2023 0:17:32,31.30,77.1
10/20/2023 0:17:55,31.70,77.6
10/20/2023 0:18:18,31.40,77.5
10/20/2023 0:18:42,31.70,77.3
10/20/2023 0:19:05,31.50,77
10/20/2023 0:19:28,31.50,84.7
10/20/2023 0:19:51,31.50,78.3
10/20/2023 0:20:15,31.50,77.4
10/20/2023 0:20:38,30.90,78.6
10/20/2023 0:21:01,31.50,77
10/20/2023 0:21:24,31.20,79.5
10/20/2023 0:21:47,31.20,77.8
10/20/2023 0:22:11,31.50,79.4
10/20/2023 0:22:34,31.80,77.3
10/20/2023 0:22:57,31.60,77.6
10/20/2023 0:23:20,31.80,76.5
10/20/2023 0:23:43,31.70,77.6
10/20/2023 0:24:06,31.60,77
10/20/2023 0:24:29,31.50,77.8
10/20/2023 0:24:52,31.80,78
10/20/2023 0:25:16,31.50,76.6
10/20/2023 0:25:39,31.80,79
10/20/2023 0:26:03,31.80,78
10/20/2023 0:26:26,31.70,78.4
10/20/2023 0:26:49,31.70,78.3
10/20/2023 0:27:12,31.70,78.3
10/20/2023 0:27:35,31.40,77.7
10/20/2023 0:27:58,31.70,76.6
10/20/2023 0:28:21,31.80,77.5
10/20/2023 0:28:44,31.80,75.9
